ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
218404_at	3.53e-09	1.71e-11	-8.758425	16.0670451	-3.0541251	SNX10	sorting nexin 10
221215_s_at	3.66e-09	1.79e-11	8.744812	16.0219246	1.694149	RIPK4	receptor interacting serine/threonine kinase 4
204415_at	3.76e-09	1.86e-11	-8.73424	15.9868729	-2.829488	IFI6	interferon alpha inducible protein 6
202053_s_at	4.19e-09	2.09e-11	8.700139	15.8737257	1.5673716	ALDH3A2	aldehyde dehydrogenase 3 family member A2
214235_at	4.65e-09	2.35e-11	8.664646	15.7558358	3.423657	CYP3A5	cytochrome P450 family 3 subfamily A member 5
219253_at	4.65e-09	2.38e-11	-8.661558	15.7455725	-1.2402877	TMEM185B	transmembrane protein 185B
212594_at	4.65e-09	2.38e-11	8.661342	15.744854	1.7350991	MIR4680///PDCD4	microRNA 4680///programmed cell death 4 (neoplastic transformation inhibitor)
203845_at	4.73e-09	2.44e-11	8.653648	15.7192786	2.6650037	KAT2B	lysine acetyltransferase 2B
202730_s_at	4.84e-09	2.52e-11	8.644707	15.6895517	1.7230675	MIR4680///PDCD4	microRNA 4680///programmed cell death 4 (neoplastic transformation inhibitor)
207147_at	5.33e-09	2.80e-11	-8.613558	15.5859238	-3.247323	DLX2	distal-less homeobox 2
207038_at	5.35e-09	2.83e-11	8.610453	15.5755891	2.4963737	SLC16A6	solute carrier family 16 member 6
213150_at	5.46e-09	2.92e-11	-8.601501	15.5457863	-2.4892041	HOXA10	homeobox A10
209318_x_at	5.51e-09	2.97e-11	8.596398	15.5287916	2.0984979	PLAGL1	PLAG1 like zinc finger 1
200965_s_at	5.55e-09	3.01e-11	8.592067	15.5143681	2.1065025	ABLIM1	actin binding LIM protein 1
214953_s_at	5.72e-09	3.13e-11	-8.580642	15.4763103	-1.5600971	APP	amyloid beta precursor protein
201897_s_at	5.92e-09	3.27e-11	-8.568219	15.4349149	-2.1684279	CKS1B	CDC28 protein kinase regulatory subunit 1B
204416_x_at	5.94e-09	3.31e-11	-8.56482	15.4235841	-3.8003569	APOC1	apolipoprotein C1
212659_s_at	6.00e-09	3.37e-11	8.559612	15.4062231	3.1990289	IL1RN	interleukin 1 receptor antagonist
219722_s_at	6.33e-09	3.58e-11	8.541602	15.3461683	2.8921068	GDPD3	glycerophosphodiester phosphodiesterase domain containing 3
204256_at	6.44e-09	3.67e-11	8.534172	15.3213831	2.2417759	ELOVL6	ELOVL fatty acid elongase 6
214091_s_at	6.47e-09	3.72e-11	8.53092	15.3105328	2.9429949	GPX3	glutathione peroxidase 3
209975_at	6.48e-09	3.75e-11	8.528217	15.3015144	3.0913681	CYP2E1	cytochrome P450 family 2 subfamily E member 1
210001_s_at	6.70e-09	3.91e-11	-8.515777	15.2599952	-2.9122187	SOCS1	suppressor of cytokine signaling 1
207943_x_at	6.76e-09	3.97e-11	8.51123	15.2448157	1.6239252	PLAGL1	PLAG1 like zinc finger 1
211026_s_at	7.46e-09	4.42e-11	8.480305	15.1415317	2.6637775	MGLL	monoglyceride lipase
221003_s_at	7.49e-09	4.47e-11	8.476864	15.1300323	2.6365949	CAB39L	calcium binding protein 39 like
216025_x_at	7.56e-09	4.55e-11	8.471977	15.1136989	2.0922288	CYP2C9	cytochrome P450 family 2 subfamily C member 9
207935_s_at	7.63e-09	4.62e-11	8.46692	15.0967988	5.2479639	KRT13	keratin 13
219863_at	7.77e-09	4.74e-11	-8.459626	15.0724128	-2.0659966	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5
207714_s_at	7.97e-09	4.90e-11	-8.450042	15.0403666	-3.6961726	SERPINH1	serpin family H member 1
202369_s_at	8.10e-09	5.02e-11	-8.443095	15.0171311	-1.6575913	TRAM2	translocation associated membrane protein 2
207183_at	8.22e-09	5.13e-11	-8.436583	14.9953474	-3.2211213	GPR19	G protein-coupled receptor 19
206884_s_at	8.51e-09	5.38e-11	8.42254	14.9483572	4.9681453	SCEL	sciellin
202952_s_at	8.51e-09	5.39e-11	-8.422446	14.9480424	-4.2269282	ADAM12	ADAM metallopeptidase domain 12
201325_s_at	8.53e-09	5.44e-11	8.419545	14.9383335	3.7808779	EMP1	epithelial membrane protein 1
204393_s_at	8.76e-09	5.62e-11	8.409982	14.9063226	2.9696821	ACPP	acid phosphatase, prostate
211726_s_at	9.04e-09	5.84e-11	8.398761	14.8687473	3.3254114	FMO2	flavin containing monooxygenase 2
218024_at	9.59e-09	6.24e-11	8.379429	14.8039892	1.4890197	MPC1	mitochondrial pyruvate carrier 1
203585_at	9.79e-09	6.41e-11	8.37156	14.7776187	2.8297775	ZNF185	zinc finger protein 185 (LIM domain)
211734_s_at	1.00e-08	6.61e-11	8.362999	14.7489236	2.2860548	FCER1A	Fc fragment of IgE receptor Ia
203921_at	1.06e-08	7.07e-11	-8.343276	14.6827871	-2.2531612	CHST2	carbohydrate sulfotransferase 2
216243_s_at	1.08e-08	7.25e-11	8.33574	14.6575096	2.4934004	IL1RN	interleukin 1 receptor antagonist
207002_s_at	1.16e-08	7.79e-11	8.314909	14.5876066	2.4745664	PLAGL1	PLAG1 like zinc finger 1
204619_s_at	1.20e-08	8.14e-11	-8.302217	14.5449984	-2.3865805	VCAN	versican
204023_at	1.20e-08	8.22e-11	-8.299382	14.5354783	-2.3404832	RFC4	replication factor C subunit 4
209292_at	1.22e-08	8.40e-11	8.293084	14.5143269	2.8166858	ID4	inhibitor of DNA binding 4, HLH protein
201649_at	1.32e-08	9.09e-11	-8.270068	14.4370018	-1.6715914	UBE2L6	ubiquitin conjugating enzyme E2 L6
212593_s_at	1.38e-08	9.57e-11	8.255083	14.3866349	1.5754228	MIR4680///PDCD4	microRNA 4680///programmed cell death 4 (neoplastic transformation inhibitor)
32128_at	1.39e-08	9.72e-11	-8.25082	14.3723026	-4.0866413	CCL18	C-C motif chemokine ligand 18
218804_at	1.39e-08	9.81e-11	-8.247972	14.3627272	-3.3683167	ANO1	anoctamin 1
201041_s_at	1.39e-08	9.85e-11	8.246757	14.3586424	2.2806776	DUSP1	dual specificity phosphatase 1
214431_at	1.41e-08	1.00e-10	-8.241463	14.3408377	-1.6798299	GMPS	guanine monophosphate synthase
219597_s_at	1.45e-08	1.04e-10	8.231084	14.3059286	2.8125855	DUOX1	dual oxidase 1
209612_s_at	1.46e-08	1.06e-10	8.226386	14.2901238	2.718393	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
217820_s_at	1.59e-08	1.15e-10	-8.20103	14.2047915	-1.9452928	ENAH	enabled homolog (Drosophila)
205530_at	1.59e-08	1.16e-10	8.199265	14.198847	1.6395227	ETFDH	electron transfer flavoprotein dehydrogenase
218677_at	1.64e-08	1.22e-10	8.185179	14.151419	2.0285382	S100A14	S100 calcium binding protein A14
219281_at	1.64e-08	1.22e-10	8.184634	14.1495829	1.2289062	MSRA	methionine sulfoxide reductase A
33494_at	1.64e-08	1.22e-10	8.183653	14.1462782	1.768343	ETFDH	electron transfer flavoprotein dehydrogenase
204068_at	1.67e-08	1.25e-10	-8.177411	14.1252524	-1.7511827	STK3	serine/threonine kinase 3
218586_at	1.72e-08	1.29e-10	-8.167785	14.092825	-1.4414134	MRGBP	MRG/MORF4L binding protein
211843_x_at	1.87e-08	1.42e-10	8.141587	14.0045269	3.5331412	CYP3A7-CYP3A51P	CYP3A7-CYP3A51P readthrough
200644_at	1.88e-08	1.43e-10	-8.138465	13.9940007	-2.2919789	MARCKSL1	MARCKS like 1
213725_x_at	1.88e-08	1.44e-10	8.135949	13.9855185	2.0471441	XYLT1	xylosyltransferase 1
210052_s_at	1.92e-08	1.48e-10	-8.128619	13.9607975	-2.6219131	TPX2	TPX2, microtubule nucleation factor
214621_at	1.99e-08	1.54e-10	8.116875	13.9211855	4.9992436	GYS2	glycogen synthase 2
214274_s_at	1.99e-08	1.56e-10	8.11395	13.9113181	1.6027168	ACAA1	acetyl-CoA acyltransferase 1
221203_s_at	1.99e-08	1.57e-10	-8.111223	13.9021168	-1.4086607	YEATS2	YEATS domain containing 2
204146_at	1.99e-08	1.58e-10	-8.110799	13.9006859	-2.771399	RAD51AP1	RAD51 associated protein 1
201818_at	2.01e-08	1.61e-10	-8.105214	13.8818426	-2.7903299	LPCAT1	lysophosphatidylcholine acyltransferase 1
204168_at	2.01e-08	1.61e-10	8.104032	13.8778524	1.6115003	MGST2	microsomal glutathione S-transferase 2
210868_s_at	2.01e-08	1.62e-10	8.103534	13.8761742	1.9864041	ELOVL6	ELOVL fatty acid elongase 6
211981_at	2.06e-08	1.66e-10	-8.094817	13.8467537	-2.7585438	COL4A1	collagen type IV alpha 1 chain
212314_at	2.14e-08	1.74e-10	-8.082192	13.8041347	-1.5544188	SEL1L3	SEL1L family member 3
214612_x_at	2.21e-08	1.81e-10	-8.071374	13.7676039	-5.0923809	MAGEA6	MAGE family member A6
201413_at	2.25e-08	1.85e-10	8.064096	13.7430228	0.9244604	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4
212110_at	2.30e-08	1.90e-10	-8.056098	13.7160069	-2.5072029	SLC39A14	solute carrier family 39 member 14
203430_at	2.43e-08	2.03e-10	8.038121	13.6552626	1.6244545	HEBP2	heme binding protein 2
203325_s_at	2.43e-08	2.03e-10	-8.03793	13.6546159	-2.1502725	COL5A1	collagen type V alpha 1 chain
209408_at	2.76e-08	2.31e-10	-7.999719	13.5254154	-1.6169008	KIF2C	kinesin family member 2C
212586_at	2.78e-08	2.35e-10	7.995597	13.5114701	1.5201605	CAST	calpastatin
212657_s_at	2.90e-08	2.46e-10	7.981758	13.4646458	3.1939828	IL1RN	interleukin 1 receptor antagonist
204320_at	2.94e-08	2.50e-10	-7.976878	13.4481303	-3.7080386	COL11A1	collagen type XI alpha 1 chain
219787_s_at	3.02e-08	2.59e-10	-7.96677	13.4139147	-2.8222481	ECT2	epithelial cell transforming 2
210809_s_at	3.02e-08	2.60e-10	-7.966168	13.4118794	-2.9627848	POSTN	periostin
220513_at	3.08e-08	2.67e-10	-7.958659	13.3864577	-3.2954241	KHDC1L	KH domain containing 1 like
218935_at	3.27e-08	2.86e-10	7.938735	13.3189817	2.1400906	EHD3	EH domain containing 3
202506_at	3.27e-08	2.86e-10	-7.938301	13.3175119	-1.4714406	SSFA2	sperm specific antigen 2
266_s_at	3.28e-08	2.88e-10	7.936217	13.3104525	1.8151569	CD24	CD24 molecule
210609_s_at	3.28e-08	2.90e-10	7.934104	13.3032948	2.1596495	TP53I3	tumor protein p53 inducible protein 3
213056_at	3.34e-08	2.97e-10	7.928087	13.2829098	1.5301305	FRMD4B	FERM domain containing 4B
206023_at	3.36e-08	3.01e-10	7.923865	13.2686046	3.1046275	NMU	neuromedin U
201535_at	3.36e-08	3.02e-10	7.923	13.2656729	1.8296218	UBL3	ubiquitin like 3
213279_at	3.38e-08	3.05e-10	7.920367	13.2567521	2.0854951	DHRS1	dehydrogenase/reductase 1
211597_s_at	3.38e-08	3.07e-10	7.918517	13.2504814	3.363011	HOPX	HOP homeobox
221641_s_at	3.56e-08	3.24e-10	-7.902593	13.1965113	-1.7399888	ACOT9	acyl-CoA thioesterase 9
218355_at	3.60e-08	3.30e-10	-7.897535	13.1793636	-2.3311278	KIF4A	kinesin family member 4A
215446_s_at	3.60e-08	3.32e-10	-7.895962	13.1740309	-2.8914438	LOX	lysyl oxidase
204924_at	3.63e-08	3.35e-10	-7.892777	13.1632336	-2.7383228	TLR2	toll like receptor 2
221731_x_at	3.64e-08	3.38e-10	-7.890216	13.1545494	-2.8004169	VCAN	versican
214598_at	3.68e-08	3.43e-10	7.885988	13.1402107	2.7928543	CLDN8	claudin 8
202191_s_at	3.82e-08	3.58e-10	7.873621	13.0982698	1.9516974	GAS7	growth arrest specific 7
200758_s_at	4.01e-08	3.78e-10	-7.858303	13.0463021	-1.2961394	NFE2L1	nuclear factor, erythroid 2 like 1
207057_at	4.05e-08	3.84e-10	7.853889	13.0313227	3.4771366	SLC16A7	solute carrier family 16 member 7
205783_at	4.06e-08	3.89e-10	7.850268	13.0190352	3.6462255	KLK13	kallikrein related peptidase 13
204947_at	4.06e-08	3.90e-10	-7.849122	13.0151455	-2.2230174	E2F1	E2F transcription factor 1
218542_at	4.06e-08	3.90e-10	-7.848957	13.0145854	-2.5873976	CEP55	centrosomal protein 55
203744_at	4.18e-08	4.03e-10	-7.839622	12.9829026	-2.0149696	HMGB3	high mobility group box 3
212816_s_at	4.37e-08	4.24e-10	-7.825335	12.9344017	-2.4098402	CBS	cystathionine-beta-synthase
205464_at	4.39e-08	4.27e-10	7.822951	12.9263057	2.7850172	SCNN1B	sodium channel epithelial 1 beta subunit
207773_x_at	4.40e-08	4.31e-10	7.820727	12.9187545	2.8595924	CYP3A43	cytochrome P450 family 3 subfamily A member 43
201170_s_at	4.57e-08	4.49e-10	7.808423	12.8769706	1.507006	BHLHE40	basic helix-loop-helix family member e40
205157_s_at	4.93e-08	4.87e-10	-7.785213	12.7981194	-3.7297897	KRT17///JUP	keratin 17///junction plakoglobin
202311_s_at	5.00e-08	4.96e-10	-7.780341	12.7815645	-2.1787868	COL1A1	collagen type I alpha 1 chain
218684_at	5.01e-08	5.01e-10	-7.777277	12.7711494	-1.7457999	LRRC8D	leucine rich repeat containing 8 family member D
220962_s_at	5.01e-08	5.01e-10	7.777022	12.7702851	1.8580126	PADI1	peptidyl arginine deiminase 1
220428_at	5.09e-08	5.12e-10	7.771122	12.7502315	1.792441	CD207	CD207 molecule
203303_at	5.45e-08	5.50e-10	7.750255	12.6792914	1.6877028	DYNLT3	dynein light chain Tctex-type 3
203586_s_at	5.53e-08	5.61e-10	7.74498	12.6613534	1.9018249	ARL4D	ADP ribosylation factor like GTPase 4D
209667_at	5.56e-08	5.67e-10	7.741902	12.6508864	2.6843056	CES2	carboxylesterase 2
220620_at	6.14e-08	6.29e-10	7.71206	12.54937	5.6424158	CRCT1	cysteine rich C-terminal 1
217315_s_at	6.16e-08	6.36e-10	7.708831	12.5383803	3.5472192	KLK13	kallikrein related peptidase 13
202404_s_at	6.16e-08	6.38e-10	-7.707991	12.5355242	-2.6488884	COL1A2	collagen type I alpha 2 chain
209720_s_at	6.16e-08	6.41e-10	7.706496	12.5304345	4.7216637	SERPINB3	serpin family B member 3
204284_at	6.16e-08	6.44e-10	7.705338	12.5264932	3.1689652	PPP1R3C	protein phosphatase 1 regulatory subunit 3C
218990_s_at	6.16e-08	6.46e-10	7.704429	12.5234015	6.0524298	SPRR3	small proline rich protein 3
204784_s_at	6.16e-08	6.47e-10	-7.70394	12.5217364	-1.7069274	MLF1	myeloid leukemia factor 1
219109_at	6.21e-08	6.55e-10	7.700191	12.5089772	1.9485159	SPAG16	sperm associated antigen 16
208126_s_at	6.35e-08	6.73e-10	7.692576	12.4830588	2.904392	CYP2C18	cytochrome P450 family 2 subfamily C member 18
210236_at	6.49e-08	6.92e-10	-7.684312	12.4549261	-2.3863695	PPFIA1	PTPRF interacting protein alpha 1
205339_at	6.49e-08	6.94e-10	-7.683823	12.4532608	-1.7169335	STIL	SCL/TAL1 interrupting locus
210613_s_at	6.52e-08	7.00e-10	7.68138	12.4449446	1.8616687	SYNGR1	synaptogyrin 1
218986_s_at	6.64e-08	7.15e-10	-7.675173	12.4238104	-2.3393949	DDX60	DEXD/H-box helicase 60
