"",title0
GSM1069827,tissue type: Adjacent normal tissue
GSM1069828,tissue type: Adjacent normal tissue
GSM1069829,tissue type: Adjacent normal tissue
GSM1069830,tissue type: Cancer tissue
GSM1069831,tissue type: Cancer tissue
GSM1069832,tissue type: Cancer tissue
GSM1069833,tissue type: Cancer tissue
GSM1069834,tissue type: Adjacent normal tissue
GSM1069835,tissue type: Adjacent normal tissue
GSM1069836,tissue type: Adjacent normal tissue
GSM1069837,tissue type: Adjacent normal tissue
GSM1069838,tissue type: Cancer tissue
GSM1069839,tissue type: Cancer tissue
GSM1069840,tissue type: Cancer tissue
GSM1069841,tissue type: Cancer tissue
GSM1069842,tissue type: Adjacent normal tissue
GSM1069843,tissue type: Adjacent normal tissue
GSM1069844,tissue type: Adjacent normal tissue
GSM1069845,tissue type: Adjacent normal tissue
GSM1069846,tissue type: Cancer tissue
GSM1069847,tissue type: Cancer tissue
GSM1069848,tissue type: Cancer tissue
GSM1069849,tissue type: Cancer tissue
GSM1069850,tissue type: Adjacent normal tissue
GSM1069851,tissue type: Adjacent normal tissue
GSM1069852,tissue type: Adjacent normal tissue
GSM1069853,tissue type: Adjacent normal tissue
GSM1069854,tissue type: Cancer tissue
GSM1069855,tissue type: Cancer tissue
GSM1069856,tissue type: Cancer tissue
GSM1069857,tissue type: Cancer tissue
GSM1069858,tissue type: Adjacent normal tissue
GSM1069859,tissue type: Adjacent normal tissue
GSM1069860,tissue type: Adjacent normal tissue
GSM1069861,tissue type: Adjacent normal tissue
GSM1069862,tissue type: Cancer tissue
GSM1069863,tissue type: Cancer tissue
GSM1069864,tissue type: Cancer tissue
GSM1069865,tissue type: Cancer tissue
GSM1069866,tissue type: Adjacent normal tissue
GSM1069867,tissue type: Adjacent normal tissue
GSM1069868,tissue type: Adjacent normal tissue
GSM1069869,tissue type: Adjacent normal tissue
GSM1069870,tissue type: Cancer tissue
GSM1069871,tissue type: Cancer tissue
GSM1069872,tissue type: Cancer tissue
GSM1069873,tissue type: Cancer tissue
GSM1069874,tissue type: Adjacent normal tissue
GSM1069875,tissue type: Adjacent normal tissue
GSM1069876,tissue type: Adjacent normal tissue
GSM1069877,tissue type: Adjacent normal tissue
GSM1069878,tissue type: Cancer tissue
GSM1069879,tissue type: Cancer tissue
GSM1069880,tissue type: Cancer tissue
GSM1069881,tissue type: Cancer tissue
GSM1069882,tissue type: Adjacent normal tissue
GSM1069883,tissue type: Adjacent normal tissue
GSM1069884,tissue type: Adjacent normal tissue
GSM1069885,tissue type: Adjacent normal tissue
GSM1069886,tissue type: Cancer tissue
GSM1069887,tissue type: Cancer tissue
GSM1069888,tissue type: Cancer tissue
GSM1069889,tissue type: Cancer tissue
GSM1069890,tissue type: Adjacent normal tissue
GSM1069891,tissue type: Adjacent normal tissue
GSM1069892,tissue type: Adjacent normal tissue
GSM1069893,tissue type: Adjacent normal tissue
GSM1069894,tissue type: Cancer tissue
GSM1069895,tissue type: Cancer tissue
GSM1069896,tissue type: Cancer tissue
GSM1069897,tissue type: Cancer tissue
GSM1069898,tissue type: Adjacent normal tissue
GSM1069899,tissue type: Adjacent normal tissue
GSM1069900,tissue type: Adjacent normal tissue
GSM1069901,tissue type: Adjacent normal tissue
GSM1069902,tissue type: Adjacent normal tissue
GSM1069903,tissue type: Cancer tissue
GSM1069904,tissue type: Cancer tissue
GSM1069905,tissue type: Cancer tissue
GSM1069906,tissue type: Cancer tissue
GSM1069907,tissue type: Adjacent normal tissue
GSM1069908,tissue type: Adjacent normal tissue
GSM1069909,tissue type: Adjacent normal tissue
GSM1069910,tissue type: Cancer tissue
GSM1069911,tissue type: Cancer tissue
GSM1069912,tissue type: Cancer tissue
GSM1069913,tissue type: Cancer tissue
GSM1069914,tissue type: Adjacent normal tissue
GSM1069915,tissue type: Adjacent normal tissue
GSM1069916,tissue type: Adjacent normal tissue
GSM1069917,tissue type: Adjacent normal tissue
GSM1069918,tissue type: Cancer tissue
GSM1069919,tissue type: Cancer tissue
GSM1069920,tissue type: Cancer tissue
GSM1069921,tissue type: Cancer tissue
GSM1069922,tissue type: Adjacent normal tissue
GSM1069923,tissue type: Adjacent normal tissue
GSM1069924,tissue type: Adjacent normal tissue
GSM1069925,tissue type: Adjacent normal tissue
GSM1069926,tissue type: Cancer tissue
GSM1069927,tissue type: Cancer tissue
GSM1069928,tissue type: Cancer tissue
GSM1069929,tissue type: Cancer tissue
GSM1069930,tissue type: Adjacent normal tissue
GSM1069931,tissue type: Adjacent normal tissue
GSM1069932,tissue type: Adjacent normal tissue
GSM1069933,tissue type: Adjacent normal tissue
GSM1069934,tissue type: Cancer tissue
GSM1069935,tissue type: Adjacent normal tissue
GSM1069936,tissue type: Cancer tissue
GSM1069937,tissue type: Cancer tissue
GSM1069938,tissue type: Cancer tissue
GSM1069939,tissue type: Cancer tissue
GSM1069940,tissue type: Adjacent normal tissue
GSM1069941,tissue type: Adjacent normal tissue
GSM1069942,tissue type: Adjacent normal tissue
GSM1069943,tissue type: Adjacent normal tissue
GSM1069944,tissue type: Cancer tissue
GSM1069945,tissue type: Cancer tissue
GSM1069946,tissue type: Cancer tissue
GSM1069947,tissue type: Cancer tissue
GSM1069948,tissue type: Adjacent normal tissue
GSM1069949,tissue type: Adjacent normal tissue
GSM1069950,tissue type: Adjacent normal tissue
GSM1069951,tissue type: Adjacent normal tissue
GSM1069952,tissue type: Cancer tissue
GSM1069953,tissue type: Cancer tissue
GSM1069954,tissue type: Cancer tissue
GSM1069955,tissue type: Cancer tissue
GSM1069956,tissue type: Adjacent normal tissue
GSM1069957,tissue type: Adjacent normal tissue
GSM1069958,tissue type: Adjacent normal tissue
GSM1069959,tissue type: Adjacent normal tissue
GSM1069960,tissue type: Cancer tissue
GSM1069961,tissue type: Cancer tissue
GSM1069962,tissue type: Cancer tissue
GSM1069963,tissue type: Cancer tissue
GSM1069964,tissue type: Adjacent normal tissue
GSM1069965,tissue type: Adjacent normal tissue
GSM1069966,tissue type: Adjacent normal tissue
GSM1069967,tissue type: Adjacent normal tissue
GSM1069968,tissue type: Cancer tissue
GSM1069969,tissue type: Cancer tissue
GSM1069970,tissue type: Cancer tissue
GSM1069971,tissue type: Cancer tissue
GSM1069972,tissue type: Adjacent normal tissue
GSM1069973,tissue type: Adjacent normal tissue
GSM1069974,tissue type: Adjacent normal tissue
GSM1069975,tissue type: Adjacent normal tissue
GSM1069976,tissue type: Cancer tissue
GSM1069977,tissue type: Cancer tissue
GSM1069978,tissue type: Cancer tissue
GSM1069979,tissue type: Adjacent normal tissue
GSM1069980,tissue type: Adjacent normal tissue
GSM1069981,tissue type: Adjacent normal tissue
GSM1069982,tissue type: Cancer tissue
GSM1069983,tissue type: Cancer tissue
GSM1069984,tissue type: Cancer tissue
GSM1069985,tissue type: Cancer tissue
GSM1069986,tissue type: Adjacent normal tissue
GSM1069987,tissue type: Adjacent normal tissue
GSM1069988,tissue type: Adjacent normal tissue
GSM1069989,tissue type: Adjacent normal tissue
GSM1069990,tissue type: Cancer tissue
GSM1069991,tissue type: Cancer tissue
GSM1069992,tissue type: Cancer tissue
GSM1069993,tissue type: Cancer tissue
GSM1069994,tissue type: Adjacent normal tissue
GSM1069995,tissue type: Adjacent normal tissue
GSM1069996,tissue type: Adjacent normal tissue
GSM1069997,tissue type: Adjacent normal tissue
GSM1069998,tissue type: Cancer tissue
GSM1069999,tissue type: Cancer tissue
GSM1070000,tissue type: Cancer tissue
GSM1070001,tissue type: Adjacent normal tissue
GSM1070002,tissue type: Adjacent normal tissue
GSM1070003,tissue type: Adjacent normal tissue
GSM1070004,tissue type: Cancer tissue
GSM1070005,tissue type: Cancer tissue
GSM1070006,tissue type: Cancer tissue
GSM1070007,tissue type: Cancer tissue
GSM1070008,tissue type: Adjacent normal tissue
GSM1070009,tissue type: Adjacent normal tissue
GSM1070010,tissue type: Adjacent normal tissue
GSM1070011,tissue type: Adjacent normal tissue
